status,project,additional,timePlayed
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2024-10-09T18:50:18Z
TERMOS_NAO_ACEITO,66f479e271aa00601b17fe4f,,2024-10-09T20:06:23Z
TERMOS_ABANDONADO,66f479e271aa00601b17fe4f,,2024-10-09T20:11:08Z
TERMOS_NAO_ACEITO,66f479e271aa00601b17fe4f,,2024-10-10T13:11:23Z
test,66f479e271aa00601b17fe4f,,2024-10-10T15:07:10Z
TERMOS_NAO_ACEITO,66f479e271aa00601b17fe4f,,2025-03-27T15:23:28Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-03-27T16:12:35Z
TERMOS_ABANDONADO,66f479e271aa00601b17fe4f,,2025-03-27T16:15:23Z
TERMOS_ABANDONADO,66f479e271aa00601b17fe4f,,2025-03-31T13:08:13Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-03-31T13:13:35Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-03-31T14:08:05Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-03-31T14:14:21Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-03-31T14:14:41Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-03-31T16:17:18Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-03-31T16:27:28Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-03-31T16:53:07Z
TERMOS_ABANDONADO,66f479e271aa00601b17fe4f,,2025-03-31T16:53:46Z
TERMOS_ABANDONADO,66f479e271aa00601b17fe4f,,2025-03-31T16:54:37Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-03-31T18:05:35Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-03-31T18:08:15Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-03-31T18:11:05Z
TERMOS_ABANDONADO,66f479e271aa00601b17fe4f,,2025-03-31T18:13:24Z
TERMOS_ABANDONADO,66f479e271aa00601b17fe4f,,2025-03-31T18:13:49Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-03-31T18:22:32Z
TERMOS_ABANDONADO,66f479e271aa00601b17fe4f,,2025-03-31T18:23:46Z
TERMOS_ABANDONADO,66f479e271aa00601b17fe4f,,2025-03-31T18:59:58Z
TERMOS_ABANDONADO,66f479e271aa00601b17fe4f,,2025-03-31T19:16:37Z
TERMOS_ABANDONADO,66f479e271aa00601b17fe4f,,2025-03-31T19:24:29Z
TERMOS_ABANDONADO,66f479e271aa00601b17fe4f,,2025-03-31T20:12:38Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-01T09:55:15Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-01T09:55:15Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-01T09:55:20Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-01T10:00:02Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-01T10:02:30Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-01T10:11:27Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-01T10:23:14Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-01T10:23:15Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-01T10:23:15Z
